iter	Logloss
0	0.6908607883
1	0.6880484323
2	0.6857846246
3	0.683194005
4	0.6807191512
5	0.6779821726
6	0.6753977826
7	0.6727811141
8	0.6700883412
9	0.6677049919
10	0.6651277846
11	0.6627713918
12	0.6604399864
13	0.6580015439
14	0.6556388127
15	0.653417464
16	0.6512623155
17	0.6490328075
18	0.6465775104
19	0.644415777
20	0.6427196659
21	0.6404498822
22	0.6380257341
23	0.6360502249
24	0.6338289687
25	0.631699057
26	0.6295551625
27	0.6272218696
28	0.6250891653
29	0.6227877644
30	0.6209234344
31	0.6186055058
32	0.6168030856
33	0.6149498039
34	0.6128211627
35	0.6109305372
36	0.6090062555
37	0.6068334531
38	0.604769728
39	0.6027483757
40	0.6008620085
41	0.5989877082
42	0.5969990774
43	0.5955028787
44	0.5936718133
45	0.5917342798
46	0.5896147304
47	0.5876601907
48	0.5858704427
49	0.5842135533
50	0.5825882136
51	0.5808819093
52	0.5788804014
53	0.57699457
54	0.5753890616
55	0.574042519
56	0.5725760515
57	0.5708680002
58	0.5690314464
59	0.5674154991
60	0.5661343948
61	0.5645810688
62	0.5630444555
63	0.5614661477
64	0.5599069462
65	0.5581582008
66	0.5563759198
67	0.5548166134
68	0.5535053988
69	0.5517858847
70	0.5501462486
71	0.5486908534
72	0.5469431295
73	0.5452579859
74	0.5438996603
75	0.5423158368
76	0.5410968697
77	0.5396792812
78	0.5381403405
79	0.5365832147
80	0.535233339
81	0.5340101109
82	0.5325566586
83	0.5309945667
84	0.5296308648
85	0.5282331114
86	0.5268906646
87	0.5255763529
88	0.5242786863
89	0.5228531526
90	0.5216380983
91	0.5201593367
92	0.5188049589
93	0.5175833351
94	0.5161718127
95	0.5149652981
96	0.5135496951
97	0.5121930168
98	0.5111438948
99	0.5098704027
100	0.5089388313
101	0.5077293166
102	0.5066046941
103	0.5053646791
104	0.5041546264
105	0.5029272162
106	0.5018636616
107	0.5006988708
108	0.4993424517
109	0.4983304682
110	0.4971949443
111	0.496002966
112	0.4948056228
113	0.4937808378
114	0.4928961925
115	0.4918014179
116	0.4906562174
117	0.4895652716
118	0.4884212559
119	0.4872382076
120	0.4861518536
121	0.485138105
122	0.4841272229
123	0.4830625179
124	0.4821046677
125	0.481002562
126	0.4800413082
127	0.478962997
128	0.4779331574
129	0.4770580099
130	0.4758107927
131	0.4748606319
132	0.4739827884
133	0.4730434808
134	0.4723362532
135	0.4713490721
136	0.4703288272
137	0.4692158867
138	0.468195767
139	0.4671706851
140	0.4662367305
141	0.4654394804
142	0.4645115223
143	0.4637307864
144	0.462702163
145	0.461965358
146	0.4611462444
147	0.4602836787
148	0.4595278738
149	0.4586661143
150	0.4576499112
151	0.4572194168
152	0.4567331509
153	0.4559754453
154	0.4550510963
155	0.4543585555
156	0.4536152267
157	0.452893657
158	0.4520270938
159	0.4513050978
160	0.450469642
161	0.4497071511
162	0.4488464863
163	0.4480516517
164	0.4472565612
165	0.4465252141
166	0.4458998002
167	0.4451173345
168	0.4444122599
169	0.4437966835
170	0.4429117483
171	0.442078493
172	0.4413099452
173	0.4406838203
174	0.4398510067
175	0.4388879255
176	0.4380626738
177	0.4373297108
178	0.4366991373
179	0.4361148422
180	0.4352354152
181	0.4347518517
182	0.4339930214
183	0.4332227128
184	0.4325250848
185	0.4318734797
186	0.4311810396
187	0.430684285
188	0.43003494
189	0.4293049327
190	0.4285278713
191	0.4278228136
192	0.4273309519
193	0.4268293298
