iter	Passed	Remaining
0	2	2163
1	4	2080
2	6	1996
3	7	1939
4	9	1926
5	11	1909
6	13	1895
7	15	1880
8	17	1875
9	19	1908
10	21	1899
11	22	1885
12	24	1882
13	26	1867
14	27	1777
15	28	1782
16	30	1778
17	32	1784
18	35	1808
19	36	1801
20	37	1740
21	39	1738
22	40	1736
23	42	1733
24	44	1736
25	45	1714
26	47	1714
27	49	1725
28	51	1727
29	53	1729
30	54	1698
31	56	1696
32	56	1663
33	57	1646
34	59	1647
35	61	1647
36	63	1650
37	65	1659
38	66	1646
39	68	1650
40	70	1651
41	71	1630
42	72	1618
43	73	1590
44	75	1594
45	77	1598
46	78	1598
47	80	1606
48	82	1597
49	84	1614
50	86	1602
51	87	1603
52	89	1602
53	91	1602
54	93	1604
55	93	1582
56	95	1571
57	97	1577
58	99	1579
59	100	1581
60	102	1582
61	104	1583
62	106	1582
63	108	1582
64	110	1583
65	112	1586
66	114	1589
67	115	1589
68	116	1573
69	118	1573
70	120	1573
71	122	1573
72	123	1572
73	125	1572
74	127	1574
75	129	1577
76	130	1565
77	132	1564
78	134	1563
79	135	1563
80	137	1563
81	138	1550
82	140	1549
83	141	1548
84	144	1551
85	146	1552
86	148	1553
87	149	1553
88	151	1552
89	153	1551
90	155	1551
91	157	1550
92	159	1551
93	161	1553
94	163	1553
95	164	1552
96	166	1553
97	168	1552
98	170	1553
99	172	1552
100	173	1546
101	175	1548
102	177	1547
103	179	1547
104	181	1548
105	183	1549
106	185	1551
107	188	1553
108	190	1559
109	193	1564
110	195	1565
111	198	1573
112	200	1575
113	202	1575
114	203	1566
115	205	1565
116	207	1565
117	209	1566
118	212	1576
119	215	1577
120	216	1574
121	219	1578
122	221	1577
123	223	1578
124	226	1587
125	228	1588
126	230	1582
127	232	1581
128	234	1582
129	236	1580
130	238	1580
131	240	1583
132	242	1581
133	244	1580
134	245	1570
135	246	1567
136	248	1565
137	250	1564
138	252	1562
139	254	1561
140	256	1563
141	258	1561
142	260	1560
143	262	1558
144	264	1556
145	264	1548
146	266	1546
147	268	1545
148	269	1537
149	271	1537
150	273	1536
151	273	1526
152	274	1521
153	275	1516
154	277	1514
155	278	1507
156	280	1505
157	281	1500
158	283	1499
159	285	1498
160	287	1498
161	289	1497
162	291	1495
163	293	1494
164	294	1492
165	296	1490
166	297	1484
167	299	1482
168	301	1483
169	302	1477
170	304	1476
171	306	1475
172	308	1474
173	310	1473
174	312	1472
175	314	1470
176	316	1469
177	318	1469
178	320	1467
179	320	1461
180	322	1459
181	324	1457
182	326	1456
183	328	1455
184	330	1454
185	332	1454
186	334	1453
187	335	1448
188	337	1446
189	339	1445
190	341	1445
191	342	1443
192	344	1441
193	345	1437
194	347	1436
195	350	1435
196	350	1429
197	352	1428
198	353	1422
199	355	1420
200	356	1415
201	357	1413
202	358	1408
203	360	1407
204	362	1405
205	364	1404
206	366	1404
207	367	1398
208	368	1395
209	370	1393
210	372	1392
211	374	1390
212	375	1388
213	377	1387
214	378	1382
215	380	1382
216	382	1381
217	384	1379
218	386	1378
219	388	1376
220	390	1374
221	390	1369
222	392	1367
223	393	1363
224	394	1357
225	396	1357
226	398	1356
227	400	1354
228	402	1353
229	403	1351
230	404	1347
231	406	1345
232	408	1343
233	409	1342
234	412	1343
235	414	1342
236	417	1343
237	419	1342
238	421	1341
239	423	1339
240	424	1338
241	426	1337
242	428	1334
243	430	1333
244	432	1331
245	433	1330
246	436	1329
247	438	1328
248	439	1326
249	441	1325
250	444	1326
251	446	1326
252	449	1326
253	450	1321
254	452	1320
255	453	1319
256	456	1318
257	457	1316
258	460	1316
259	461	1313
260	463	1311
261	465	1310
262	467	1308
263	468	1307
264	470	1305
265	472	1304
266	474	1303
267	475	1297
268	477	1296
269	479	1295
270	480	1291
271	482	1290
272	483	1288
273	485	1287
274	487	1285
275	489	1284
276	491	1283
277	493	1282
278	495	1280
279	497	1279
280	499	1277
281	500	1274
282	502	1273
283	504	1271
284	506	1270
285	508	1269
286	510	1268
287	512	1266
288	513	1263
289	514	1260
290	515	1256
291	517	1254
292	519	1253
293	521	1251
294	523	1251
295	525	1249
296	527	1248
297	529	1246
298	530	1244
299	532	1242
300	534	1241
301	536	1239
302	538	1239
303	540	1236
304	541	1234
305	542	1231
306	544	1229
307	546	1228
308	548	1226
309	550	1224
310	552	1222
311	554	1222
312	556	1220
313	558	1219
314	559	1217
315	561	1216
316	563	1214
317	565	1212
318	567	1210
319	568	1208
320	570	1207
321	572	1205
322	574	1204
323	575	1200
324	577	1199
325	579	1197
326	581	1195
327	582	1194
328	584	1192
329	585	1189
330	587	1187
331	588	1184
332	590	1182
333	591	1178
334	592	1176
335	594	1175
336	596	1173
337	598	1171
338	600	1170
339	602	1169
340	604	1167
341	605	1165
342	607	1164
343	609	1162
344	611	1160
345	612	1157
346	612	1152
347	614	1151
348	616	1150
349	617	1146
350	619	1144
351	621	1143
352	622	1141
353	624	1138
354	625	1137
355	627	1135
356	629	1134
357	631	1132
358	633	1131
359	635	1130
360	637	1129
361	639	1127
362	641	1126
363	643	1124
364	645	1122
365	645	1118
366	647	1117
367	649	1115
368	650	1112
369	652	1110
370	654	1109
371	656	1107
372	657	1105
373	658	1103
374	660	1101
375	662	1099
376	664	1098
377	666	1097
378	668	1095
379	670	1093
380	672	1092
381	674	1090
382	675	1088
383	677	1087
384	679	1086
385	681	1084
386	683	1083
387	685	1081
388	687	1079
389	689	1077
390	690	1076
391	692	1074
392	694	1072
393	695	1070
394	697	1068
395	699	1066
396	701	1064
397	703	1063
398	703	1060
399	705	1058
400	707	1056
401	709	1055
402	711	1054
403	713	1052
404	715	1050
405	717	1049
406	719	1047
407	720	1045
408	722	1044
409	723	1041
410	726	1040
411	728	1039
412	729	1037
413	730	1034
414	732	1032
415	734	1031
416	735	1028
417	737	1027
418	739	1025
419	741	1023
420	741	1020
421	743	1018
422	745	1017
423	747	1015
424	748	1013
425	750	1011
426	752	1009
427	754	1008
428	756	1006
429	758	1005
430	760	1003
431	762	1001
432	763	1000
433	765	998
434	767	996
435	769	995
436	771	993
437	773	992
438	775	991
439	777	989
440	779	987
441	781	986
442	782	984
443	784	982
444	786	980
445	788	979
446	790	978
447	792	976
448	794	974
449	795	972
450	797	971
451	799	969
452	801	967
453	802	964
454	803	962
455	806	961
456	808	960
457	809	958
458	811	956
459	813	955
460	815	953
461	817	951
462	819	950
463	821	948
464	823	947
465	825	945
466	825	942
467	827	941
468	829	939
469	831	937
470	832	934
471	834	933
472	835	931
473	838	930
474	840	928
475	841	926
476	843	925
477	845	923
478	846	920
479	848	918
480	849	917
481	851	915
482	853	913
483	855	912
484	857	910
485	859	908
486	861	907
487	863	905
488	864	903
489	866	901
490	868	900
491	870	899
492	871	896
493	873	894
494	875	892
495	877	891
496	878	889
497	880	887
498	882	885
499	884	884
500	885	882
501	887	880
502	889	878
503	891	877
504	893	875
505	894	873
506	896	871
507	898	870
508	900	868
509	902	867
510	903	864
511	905	862
512	907	861
513	909	859
514	911	858
515	912	855
516	913	853
517	914	851
518	916	849
519	918	848
520	920	846
521	922	844
522	924	842
523	926	841
524	927	839
525	928	836
526	930	835
527	932	833
528	934	831
529	936	830
530	937	828
531	939	826
532	941	824
533	943	823
534	945	821
535	947	819
536	949	818
537	951	816
538	953	815
539	954	813
540	956	811
541	958	809
542	959	807
543	960	805
544	962	803
545	964	802
546	966	800
547	968	799
548	970	797
549	972	795
550	974	794
551	976	792
552	977	789
553	979	788
554	981	786
555	982	784
556	984	782
557	986	781
558	988	779
559	989	777
560	991	775
561	993	774
562	995	772
563	997	771
564	999	769
565	1001	767
566	1002	765
567	1004	764
568	1006	762
569	1008	760
570	1009	758
571	1011	757
572	1013	755
573	1015	753
574	1017	751
575	1019	750
576	1020	748
577	1022	746
578	1023	744
579	1025	742
580	1028	741
581	1030	739
582	1031	738
583	1033	736
584	1035	734
585	1037	733
586	1039	731
587	1041	729
588	1043	728
589	1045	726
590	1046	723
591	1047	722
592	1049	720
593	1051	718
594	1053	716
595	1055	715
596	1057	713
597	1059	712
598	1061	710
599	1063	708
600	1064	706
601	1065	704
602	1067	702
603	1069	700
604	1070	699
605	1072	697
606	1074	695
607	1076	694
608	1078	692
609	1080	690
610	1082	689
611	1084	687
612	1086	685
613	1087	683
614	1088	681
615	1090	679
616	1092	678
617	1094	676
618	1096	674
619	1098	672
620	1099	671
621	1101	669
622	1102	667
623	1105	665
624	1107	664
625	1108	662
626	1110	660
627	1112	659
628	1114	657
629	1116	655
630	1118	653
631	1120	652
632	1122	650
633	1124	649
634	1125	646
635	1126	644
636	1128	643
637	1130	641
638	1132	639
639	1134	638
640	1136	636
641	1138	634
642	1140	632
643	1141	631
644	1143	629
645	1145	627
646	1147	626
647	1149	624
648	1151	622
649	1152	620
650	1154	618
651	1156	617
652	1158	615
653	1159	613
654	1161	611
655	1163	610
656	1165	608
657	1166	606
658	1168	604
659	1170	602
660	1172	601
661	1174	599
662	1176	597
663	1178	596
664	1180	594
665	1181	592
666	1184	591
667	1192	592
668	1194	591
669	1197	589
670	1199	588
671	1201	586
672	1203	584
673	1205	582
674	1206	581
675	1208	579
676	1210	577
677	1212	575
678	1214	574
679	1216	572
680	1218	570
681	1220	568
682	1221	567
683	1223	565
684	1225	563
685	1227	561
686	1229	560
687	1231	558
688	1233	556
689	1235	554
690	1237	553
691	1238	551
692	1240	549
693	1242	547
694	1243	545
695	1245	544
696	1247	542
697	1249	540
698	1251	538
699	1253	537
700	1255	535
701	1257	533
702	1259	532
703	1261	530
704	1263	528
705	1265	526
706	1267	525
707	1268	523
708	1270	521
709	1272	519
710	1274	518
711	1276	516
712	1278	514
713	1280	512
714	1281	510
715	1281	508
716	1283	506
717	1285	504
718	1285	502
719	1287	500
720	1289	498
721	1290	497
722	1292	495
723	1295	493
724	1297	492
725	1298	490
726	1300	488
727	1302	486
728	1304	484
729	1306	483
730	1308	481
731	1310	479
732	1312	477
733	1313	475
734	1315	474
735	1317	472
736	1319	470
737	1320	468
738	1322	467
739	1324	465
740	1326	463
741	1328	461
742	1330	460
743	1331	458
744	1333	456
745	1334	454
746	1336	452
747	1338	450
748	1339	448
749	1341	447
750	1343	445
751	1345	443
752	1347	441
753	1349	440
754	1350	438
755	1352	436
756	1353	434
757	1355	432
758	1357	430
759	1359	429
760	1361	427
761	1363	425
762	1365	423
763	1366	422
764	1368	420
765	1370	418
766	1372	416
767	1374	415
768	1376	413
769	1378	411
770	1380	409
771	1382	408
772	1384	406
773	1385	404
774	1387	402
775	1389	401
776	1391	399
777	1393	397
778	1395	395
779	1397	394
780	1399	392
781	1401	390
782	1403	388
783	1404	386
784	1406	385
785	1408	383
786	1410	381
787	1412	379
788	1414	378
789	1415	376
790	1417	374
791	1419	372
792	1422	371
793	1423	369
794	1425	367
795	1427	365
796	1429	364
797	1431	362
798	1432	360
799	1434	358
800	1437	357
801	1438	355
802	1440	353
803	1442	351
804	1444	349
805	1446	348
806	1448	346
807	1448	344
808	1450	342
809	1452	340
810	1454	338
811	1456	337
812	1458	335
813	1460	333
814	1461	331
815	1463	330
816	1465	328
817	1466	326
818	1468	324
819	1470	322
820	1472	321
821	1474	319
822	1476	317
823	1477	315
824	1479	313
825	1481	312
826	1483	310
827	1485	308
828	1487	306
829	1489	305
830	1490	303
831	1492	301
832	1494	299
833	1495	297
834	1497	295
835	1499	294
836	1501	292
837	1503	290
838	1505	288
839	1507	287
840	1509	285
841	1511	283
842	1513	281
843	1515	280
844	1517	278
845	1518	276
846	1520	274
847	1522	272
848	1524	271
849	1526	269
850	1528	267
851	1529	265
852	1531	263
853	1533	262
854	1535	260
855	1537	258
856	1539	256
857	1541	255
858	1542	253
859	1543	251
860	1545	249
861	1547	247
862	1548	245
863	1549	243
864	1551	242
865	1552	240
866	1553	238
867	1555	236
868	1557	234
869	1559	232
870	1560	231
871	1563	229
872	1565	227
873	1567	225
874	1568	224
875	1570	222
876	1572	220
877	1574	218
878	1576	217
879	1578	215
880	1580	213
881	1582	211
882	1582	209
883	1584	207
884	1586	206
885	1588	204
886	1590	202
887	1591	200
888	1593	199
889	1595	197
890	1596	195
891	1598	193
892	1600	191
893	1602	190
894	1603	188
895	1605	186
896	1607	184
897	1609	182
898	1611	181
899	1613	179
900	1614	177
901	1615	175
902	1617	173
903	1619	172
904	1621	170
905	1623	168
906	1625	166
907	1628	164
908	1630	163
909	1630	161
910	1632	159
911	1634	157
912	1636	155
913	1638	154
914	1640	152
915	1642	150
916	1644	148
917	1646	147
918	1648	145
919	1649	143
920	1651	141
921	1653	139
922	1655	138
923	1657	136
924	1658	134
925	1660	132
926	1661	130
927	1663	129
928	1665	127
929	1666	125
930	1668	123
931	1670	121
932	1671	120
933	1672	118
934	1674	116
935	1676	114
936	1678	112
937	1680	111
938	1682	109
939	1684	107
940	1685	105
941	1687	103
942	1689	102
943	1691	100
944	1693	98
945	1695	96
946	1697	94
947	1698	93
948	1699	91
949	1701	89
950	1702	87
951	1705	85
952	1707	84
953	1709	82
954	1711	80
955	1712	78
956	1713	76
957	1715	75
958	1716	73
959	1718	71
960	1720	69
961	1722	68
962	1724	66
963	1726	64
964	1728	62
965	1730	60
966	1731	59
967	1733	57
968	1735	55
969	1737	53
970	1739	51
971	1741	50
972	1743	48
973	1745	46
974	1746	44
975	1748	43
976	1750	41
977	1752	39
978	1754	37
979	1756	35
980	1758	34
981	1760	32
982	1762	30
983	1764	28
984	1765	26
985	1768	25
986	1770	23
987	1771	21
988	1773	19
989	1775	17
990	1777	16
991	1779	14
992	1781	12
993	1783	10
994	1784	8
995	1786	7
996	1788	5
997	1789	3
998	1791	1
999	1793	0
